CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Atelier graphique                   , 40.32.2555       , Schmitt        , Carine          
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Atelier graphique                   , 40.32.2555       , Schmitt        , Carine          
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Atelier graphique                   , 40.32.2555       , Schmitt        , Carine          
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
